sunlit times,,
24:25.9,24:47.9,21.957
47:22.8,47:44.7,21.895
24:25.7,24:47.6,21.885
47:17.1,47:38.9,21.824
24:25.5,24:47.3,21.814
47:11.4,47:33.2,21.753
24:25.3,24:47.0,21.743
47:05.8,47:27.5,21.683
24:25.1,24:46.8,21.673
47:00.2,47:21.8,21.614
24:24.9,24:46.5,21.603
46:54.7,47:16.2,21.546
24:24.7,24:46.3,21.534
46:49.2,47:10.7,21.478
24:24.6,24:46.1,21.466
46:43.7,47:05.1,21.411
24:24.4,24:45.8,21.396
46:38.3,46:59.7,21.344
24:24.3,24:45.6,21.33
46:32.9,46:54.2,21.278
24:24.1,24:45.4,21.268
46:27.6,46:48.8,21.213
24:24.0,24:45.2,21.202
46:22.3,46:43.4,21.149
24:23.8,24:45.0,21.136
46:17.0,46:38.1,21.085
24:23.7,24:44.8,21.072
46:11.8,46:32.8,21.021
24:23.5,24:44.5,21.007
46:06.6,46:27.5,20.958
24:23.4,24:44.3,20.947
46:01.4,46:22.3,20.896
24:23.2,24:44.1,20.884
45:56.2,46:17.0,20.834
24:23.0,24:43.8,20.821
45:51.0,46:11.8,20.773
24:22.8,24:43.5,20.76
45:45.9,46:06.6,20.713
24:22.5,24:43.2,20.698
45:40.7,46:01.4,20.652
24:22.3,24:42.9,20.638
45:35.6,45:56.2,20.593
24:22.0,24:42.6,20.577
45:30.4,45:50.9,20.533
24:21.7,24:42.2,20.517
45:25.2,45:45.7,20.474
24:21.3,24:41.7,20.458
45:20.1,45:40.5,20.416
24:20.9,24:41.3,20.398
45:14.9,45:35.2,20.358
24:20.4,24:40.8,20.34
45:09.7,45:30.0,20.3
24:19.9,24:40.2,20.284
45:04.5,45:24.7,20.242
24:19.4,24:39.6,20.224
44:59.3,45:19.5,20.185
24:18.7,24:38.9,20.167
44:54.0,45:14.2,20.129
24:18.1,24:38.2,20.112
44:48.8,45:08.9,20.073
24:17.4,24:37.4,20.054
44:43.5,45:03.5,20.017
24:16.6,24:36.6,19.998
44:38.2,44:58.2,19.962
24:15.7,24:35.6,19.943
44:32.9,44:52.8,19.908
24:14.8,24:34.7,19.889
44:27.6,44:47.4,19.854
24:13.8,24:33.6,19.835
44:22.2,44:42.0,19.801
24:12.6,24:32.4,19.782
44:16.7,44:36.5,19.748
24:11.4,24:31.2,19.729
44:11.2,44:30.9,19.696
24:10.1,24:29.8,19.677
44:05.7,44:25.3,19.644
24:08.7,24:28.3,19.626
44:00.1,44:19.7,19.596
24:07.1,24:26.7,19.574
43:54.4,44:13.9,19.543
24:05.5,24:25.0,19.524
43:48.6,44:08.1,19.493
24:03.7,24:23.1,19.475
43:42.8,44:02.2,19.443
24:01.7,24:21.2,19.426
43:36.8,43:56.2,19.394
23:59.7,24:19.1,19.379
43:30.9,43:50.2,19.346
23:57.5,24:16.9,19.331
43:24.8,43:44.1,19.298
23:55.3,24:14.6,19.285
43:18.7,43:38.0,19.249
23:52.9,24:12.1,19.239
43:12.6,43:31.8,19.205
23:50.5,24:09.7,19.196
43:06.5,43:25.6,19.159
23:47.9,24:07.1,19.15
43:00.3,43:19.4,19.113
23:45.3,24:04.4,19.105
42:54.1,43:13.2,19.069
23:42.7,24:01.8,19.062
42:47.9,43:06.9,19.025
23:40.0,23:59.0,19.02
42:41.7,43:00.7,18.982
23:37.3,23:56.3,18.978
42:35.5,42:54.5,18.939
23:34.6,23:53.5,18.937
42:29.4,42:48.3,18.897
23:31.8,23:50.7,18.897
42:23.3,42:42.1,18.853
23:29.0,23:47.9,18.857
42:17.2,42:36.0,18.815
23:26.2,23:45.1,18.818
42:11.1,42:29.9,18.775
23:23.5,23:42.2,18.78
42:05.1,42:23.8,18.736
23:20.6,23:39.4,18.742
41:59.1,42:17.7,18.697
23:17.8,23:36.6,18.705
41:53.1,42:11.7,18.659
23:15.0,23:33.7,18.668
41:47.1,42:05.7,18.621
23:12.2,23:30.8,18.632
41:41.1,41:59.7,18.584
23:09.4,23:28.0,18.597
41:35.2,41:53.7,18.547
23:06.5,23:25.1,18.561
41:29.3,41:47.8,18.51
23:03.6,23:22.1,18.527
41:23.3,41:41.8,18.474
23:00.7,23:19.2,18.492
41:17.4,41:35.9,18.439
22:57.8,23:16.3,18.459
41:11.5,41:29.9,18.403
22:54.9,23:13.3,18.425
41:05.6,41:23.9,18.369
22:51.9,23:10.3,18.392
40:59.7,41:18.0,18.338
22:48.9,23:07.3,18.359
40:53.8,41:12.1,18.298
22:46.0,23:04.3,18.327
40:47.9,41:06.1,18.266
22:43.0,23:01.3,18.295
40:42.0,41:00.2,18.233
22:40.0,22:58.2,18.263
40:36.1,40:54.3,18.201
22:37.0,22:55.2,18.232
40:30.2,40:48.4,18.169
22:34.0,22:52.2,18.201
40:24.4,40:42.5,18.137
22:31.0,22:49.2,18.17
40:18.5,40:36.7,18.106
22:28.1,22:46.2,18.14
40:12.8,40:30.8,18.076
22:25.1,22:43.2,18.11
40:07.0,40:25.0,18.046
22:22.2,22:40.3,18.081
40:01.3,40:19.3,18.017
22:19.3,22:37.4,18.052
39:55.6,40:13.6,17.988
22:16.5,22:34.5,18.023
39:50.0,40:07.9,17.96
22:13.6,22:31.6,17.995
39:44.4,40:02.3,17.933
22:10.9,22:28.8,17.967
39:38.9,39:56.8,17.906
22:08.1,22:26.1,17.94
39:33.4,39:51.3,17.879
22:05.5,22:23.4,17.912
39:28.1,39:45.9,17.85
22:02.8,22:20.7,17.885
39:22.7,39:40.6,17.828
22:00.2,22:18.1,17.859
39:17.5,39:35.3,17.799
21:57.7,22:15.5,17.833
39:12.3,39:30.1,17.775
21:55.2,22:13.0,17.807
39:07.2,39:24.9,17.754
21:52.8,22:10.5,17.782
39:02.1,39:19.9,17.73
21:50.4,22:08.1,17.757
38:57.2,39:14.9,17.704
21:48.0,22:05.8,17.732
38:52.3,39:09.9,17.681
21:45.7,22:03.4,17.708
38:47.4,39:05.1,17.658
21:43.5,22:01.2,17.684
38:42.6,39:00.3,17.636
21:41.3,21:59.0,17.66
38:37.9,38:55.6,17.617
21:39.1,21:56.8,17.637
38:33.3,38:50.9,17.595
21:37.0,21:54.6,17.615
38:28.7,38:46.3,17.571
21:34.9,21:52.5,17.592
38:24.2,38:41.7,17.553
21:32.9,21:50.5,17.57
38:19.7,38:37.2,17.532
21:30.9,21:48.4,17.549
38:15.2,38:32.7,17.512
21:28.9,21:46.4,17.528
38:10.8,38:28.3,17.488
21:26.9,21:44.4,17.507
38:06.4,38:23.9,17.472
21:24.9,21:42.4,17.487
38:02.1,38:19.5,17.449
21:22.9,21:40.4,17.467
37:57.8,38:15.2,17.433
21:21.0,21:38.4,17.448
37:53.5,38:10.9,17.411
21:19.0,21:36.5,17.429
37:49.2,38:06.6,17.392
21:17.1,21:34.5,17.41
37:45.0,38:02.4,17.376
21:15.2,21:32.6,17.391
37:40.8,37:58.2,17.358
21:13.2,21:30.6,17.373
37:36.6,37:54.0,17.34
21:11.3,21:28.7,17.355
37:32.5,37:49.8,17.319
21:09.4,21:26.7,17.338
37:28.4,37:45.7,17.304
21:07.5,21:24.8,17.32
37:24.3,37:41.6,17.287
21:05.6,21:22.9,17.303
37:20.3,37:37.5,17.274
21:03.7,21:21.0,17.286
37:16.2,37:33.5,17.25
21:01.8,21:19.0,17.27
37:12.2,37:29.5,17.234
20:59.9,21:17.1,17.253
37:08.3,37:25.5,17.217
20:58.0,21:15.2,17.237
37:04.3,37:21.5,17.201
20:56.1,21:13.3,17.217
37:00.3,37:17.5,17.188
20:54.1,21:11.3,17.205
36:56.4,37:13.6,17.172
20:52.2,21:09.4,17.189
36:52.5,37:09.6,17.156
20:50.2,21:07.4,17.173
36:48.5,37:05.6,17.14
20:48.2,21:05.4,17.158
36:44.5,37:01.7,17.125
20:46.2,21:03.3,17.142
36:40.6,36:57.7,17.113
20:44.1,21:01.2,17.127
36:36.6,36:53.7,17.097
20:42.0,20:59.1,17.113
36:32.5,36:49.6,17.08
20:39.8,20:56.9,17.103
36:28.5,36:45.6,17.065
20:37.5,20:54.6,17.087
36:24.4,36:41.5,17.053
20:35.3,20:52.3,17.07
36:20.3,36:37.3,17.036
20:32.9,20:50.0,17.06
36:16.2,36:33.2,17.022
20:30.5,20:47.6,17.043
36:12.0,36:29.0,17.007
20:28.1,20:45.1,17.033
36:07.9,36:24.9,16.991
20:25.6,20:42.6,17.017
36:03.7,36:20.7,16.979
20:23.1,20:40.1,17.003
35:59.6,36:16.5,16.964
20:20.6,20:37.6,16.99
35:55.4,36:12.3,16.952
20:18.0,20:35.0,16.977
35:51.2,36:08.2,16.938
20:15.4,20:32.4,16.964
35:47.1,36:04.0,16.928
20:12.8,20:29.7,16.952
35:42.9,35:59.8,16.909
20:10.1,20:27.1,16.938
35:38.7,35:55.6,16.898
20:07.4,20:24.4,16.927
35:34.5,35:51.4,16.882
20:04.7,20:21.6,16.912
35:30.4,35:47.2,16.869
20:01.9,20:18.8,16.899
,,
Eclipse times (ubmra),,
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
12:37.2,16:02.3,205.185
11:42.4,16:48.5,306.05
11:00.9,17:21.6,380.644
10:25.9,17:48.3,442.465
09:54.8,18:11.1,496.31
09:26.6,18:31.2,544.546
09:00.6,18:49.2,588.555
08:36.4,19:05.6,629.224
08:13.5,19:20.7,667.163
07:51.8,19:34.7,702.819
07:31.2,19:47.7,736.524
07:11.5,20:00.0,768.53
06:52.5,20:11.6,799.043
06:34.3,20:22.5,828.235
06:16.7,20:32.9,856.234
05:59.7,20:42.8,883.15
05:43.2,20:52.3,909.099
05:27.2,21:01.3,934.148
05:11.6,21:10.0,958.366
04:56.5,21:18.3,981.825
04:41.7,21:26.3,1004.581
04:27.3,21:34.0,1026.676
04:13.2,21:41.4,1048.159
03:59.5,21:48.5,1069.069
03:46.0,21:55.5,1089.444
03:32.8,22:02.2,1109.313
03:19.9,22:08.7,1128.715
03:07.3,22:15.0,1147.668
02:54.9,22:21.1,1166.2
02:42.8,22:27.1,1184.33
02:30.8,22:32.9,1202.079
02:19.1,22:38.6,1219.463
02:07.6,22:44.1,1236.496
01:56.3,22:49.4,1253.189
01:45.1,22:54.7,1269.563
01:34.1,22:59.7,1285.614
01:23.3,23:04.7,1301.365
01:12.6,23:09.4,1316.822
01:02.1,23:14.0,1331.986
00:51.6,23:18.5,1346.87
00:41.3,23:22.8,1361.489
00:31.1,23:27.0,1375.839
00:21.0,23:30.9,1389.929
00:11.0,23:34.8,1403.774
00:01.1,23:38.5,1417.38
59:51.3,23:42.1,1430.753
59:41.6,23:45.5,1443.902
59:32.0,23:48.8,1456.834
59:22.5,23:52.0,1469.566
59:13.1,23:55.2,1482.095
59:03.8,23:58.2,1494.441
58:54.5,24:01.1,1506.608
58:45.4,24:04.0,1518.597
58:36.3,24:06.8,1530.432
58:27.4,24:09.5,1542.111
58:18.4,24:12.1,1553.65
58:09.6,24:14.6,1565.044
58:00.7,24:17.0,1576.32
57:51.9,24:19.3,1587.466
57:43.1,24:21.6,1598.501
57:34.3,24:23.7,1609.431
57:25.5,24:25.7,1620.256
57:16.7,24:27.6,1630.981
57:07.9,24:29.5,1641.619
56:59.1,24:31.2,1652.167
56:50.3,24:32.9,1662.627
56:41.5,24:34.5,1673.009
56:32.7,24:36.0,1683.304
56:23.9,24:37.4,1693.524
56:15.1,24:38.8,1703.659
56:06.3,24:40.1,1713.718
55:57.6,24:41.3,1723.692
55:48.9,24:42.5,1733.583
55:40.2,24:43.6,1743.392
55:31.5,24:44.6,1753.117
55:22.9,24:45.6,1762.758
55:14.2,24:46.6,1772.314
55:05.7,24:47.5,1781.791
54:57.1,24:48.3,1791.183
54:48.6,24:49.1,1800.497
54:40.2,24:49.9,1809.734
54:31.8,24:50.7,1818.893
54:23.4,24:51.4,1827.972
54:15.1,24:52.1,1836.982
54:06.9,24:52.8,1845.91
53:58.7,24:53.5,1854.769
53:50.6,24:54.1,1863.551
53:42.5,24:54.7,1872.259
53:34.4,24:55.3,1880.879
53:26.4,24:55.9,1889.427
53:18.4,24:56.3,1897.893
53:10.5,24:56.8,1906.269
53:02.5,24:57.1,1914.556
52:54.6,24:57.4,1922.756
52:46.7,24:57.6,1930.86
52:38.8,24:57.6,1938.87
52:30.8,24:57.6,1946.784
52:22.9,24:57.5,1954.6
52:14.9,24:57.3,1962.317
52:07.0,24:56.9,1969.943
51:59.0,24:56.4,1977.467
51:50.9,24:55.8,1984.903
51:42.9,24:55.1,1992.244
51:34.8,24:54.3,1999.494
51:26.8,24:53.4,2006.664
51:18.7,24:52.4,2013.744
51:10.6,24:51.3,2020.751
51:02.5,24:50.2,2027.684
50:54.4,24:49.0,2034.553
50:46.3,24:47.7,2041.348
50:38.3,24:46.4,2048.081
50:30.3,24:45.0,2054.752
50:22.3,24:43.7,2061.366
50:14.4,24:42.4,2067.925
50:06.6,24:41.0,2074.427
49:58.8,24:39.7,2080.884
49:51.2,24:38.5,2087.287
49:43.6,24:37.2,2093.644
49:36.1,24:36.1,2099.95
49:28.8,24:35.0,2106.214
49:21.5,24:34.0,2112.434
49:14.4,24:33.0,2118.61
49:07.3,24:32.1,2124.747
49:00.4,24:31.3,2130.839
48:53.6,24:30.5,2136.892
48:46.9,24:29.8,2142.905
48:40.3,24:29.2,2148.879
48:33.8,24:28.6,2154.814
48:27.4,24:28.1,2160.709
48:21.0,24:27.6,2166.571
48:14.8,24:27.2,2172.39
48:08.6,24:26.8,2178.178
48:02.6,24:26.5,2183.92
47:56.6,24:26.2,2189.631
47:50.6,24:25.9,2195.305
47:44.7,24:25.7,2200.939
47:38.9,24:25.5,2206.534
47:33.2,24:25.3,2212.09
47:27.5,24:25.1,2217.608
47:21.8,24:24.9,2223.087
47:16.2,24:24.7,2228.528
47:10.7,24:24.6,2233.93
47:05.1,24:24.4,2239.294
46:59.7,24:24.3,2244.621
46:54.2,24:24.1,2249.911
46:48.8,24:24.0,2255.165
46:43.4,24:23.8,2260.383
46:38.1,24:23.7,2265.567
46:32.8,24:23.5,2270.717
46:27.5,24:23.4,2275.83
46:22.3,24:23.2,2280.912
46:17.0,24:23.0,2285.963
46:11.8,24:22.8,2290.98
46:06.6,24:22.5,2295.965
46:01.4,24:22.3,2300.918
45:56.2,24:22.0,2305.839
45:50.9,24:21.7,2310.721
45:45.7,24:21.3,2315.577
45:40.5,24:20.9,2320.392
45:35.2,24:20.4,2325.17
45:30.0,24:19.9,2329.916
45:24.7,24:19.4,2334.623
45:19.5,24:18.7,2339.287
45:14.2,24:18.1,2343.905
45:08.9,24:17.4,2348.488
45:03.5,24:16.6,2353.021
44:58.2,24:15.7,2357.507
44:52.8,24:14.8,2361.945
44:47.4,24:13.8,2366.333
44:42.0,24:12.6,2370.671
44:36.5,24:11.4,2374.953
44:30.9,24:10.1,2379.188
44:25.3,24:08.7,2383.367
44:19.7,24:07.1,2387.49
44:13.9,24:05.5,2391.565
44:08.1,24:03.7,2395.581
44:02.2,24:01.7,2399.548
43:56.2,23:59.7,2403.46
43:50.2,23:57.5,2407.33
43:44.1,23:55.3,2411.146
43:38.0,23:52.9,2414.913
43:31.8,23:50.5,2418.634
43:25.6,23:47.9,2422.313
43:19.4,23:45.3,2425.947
43:13.2,23:42.7,2429.54
43:06.9,23:40.0,2433.088
43:00.7,23:37.3,2436.596
42:54.5,23:34.6,2440.072
42:48.3,23:31.8,2443.503
42:42.1,23:29.0,2446.894
42:36.0,23:26.2,2450.252
42:29.9,23:23.5,2453.566
42:23.8,23:20.6,2456.849
42:17.7,23:17.8,2460.1
42:11.7,23:15.0,2463.308
42:05.7,23:12.2,2466.492
41:59.7,23:09.4,2469.64
41:53.7,23:06.5,2472.758
41:47.8,23:03.6,2475.84
41:41.8,23:00.7,2478.91
41:35.9,22:57.8,2481.949
41:29.9,22:54.9,2484.965
41:23.9,22:51.9,2487.958
41:18.0,22:48.9,2490.935
41:12.1,22:46.0,2493.897
41:06.1,22:43.0,2496.846
41:00.2,22:40.0,2499.779
40:54.3,22:37.0,2502.699
40:48.4,22:34.0,2505.612
40:42.5,22:31.0,2508.513
40:36.7,22:28.1,2511.404
40:30.8,22:25.1,2514.286
40:25.0,22:22.2,2517.158
40:19.3,22:19.3,2520.019
40:13.6,22:16.5,2522.869
40:07.9,22:13.6,2525.707
40:02.3,22:10.9,2528.531
39:56.8,22:08.1,2531.341
39:51.3,22:05.5,2534.135
39:45.9,22:02.8,2536.912
39:40.6,22:00.2,2539.671
39:35.3,21:57.7,2542.411
39:30.1,21:55.2,2545.132
39:24.9,21:52.8,2547.832
39:19.9,21:50.4,2550.511
39:14.9,21:48.0,2553.169
39:09.9,21:45.7,2555.807
39:05.1,21:43.5,2558.423
39:00.3,21:41.3,2561.018
38:55.6,21:39.1,2563.591
38:50.9,21:37.0,2566.143
38:46.3,21:34.9,2568.674
38:41.7,21:32.9,2571.183
38:37.2,21:30.9,2573.671
38:32.7,21:28.9,2576.137
38:28.3,21:26.9,2578.581
38:23.9,21:24.9,2581.004
38:19.5,21:22.9,2583.404
38:15.2,21:21.0,2585.783
38:10.9,21:19.0,2588.139
38:06.6,21:17.1,2590.473
38:02.4,21:15.2,2592.784
37:58.2,21:13.2,2595.072
37:54.0,21:11.3,2597.336
37:49.8,21:09.4,2599.576
37:45.7,21:07.5,2601.792
37:41.6,21:05.6,2603.984
37:37.5,21:03.7,2606.147
37:33.5,21:01.8,2608.293
37:29.5,20:59.9,2610.409
37:25.5,20:58.0,2612.5
37:21.5,20:56.1,2614.566
37:17.5,20:54.1,2616.605
37:13.6,20:52.2,2618.615
37:09.6,20:50.2,2620.606
37:05.6,20:48.2,2622.569
37:01.7,20:46.2,2624.505
36:57.7,20:44.1,2626.413
36:53.7,20:42.0,2628.298
36:49.6,20:39.8,2630.155
36:45.6,20:37.5,2631.989
36:41.5,20:35.3,2633.797
36:37.3,20:32.9,2635.575
36:33.2,20:30.5,2637.326
36:29.0,20:28.1,2639.052
36:24.9,20:25.6,2640.75
36:20.7,20:23.1,2642.416
36:16.5,20:20.6,2644.055
36:12.3,20:18.0,2645.661
36:08.2,20:15.4,2647.239
36:04.0,20:12.8,2648.789
35:59.8,20:10.1,2650.316
35:55.6,20:07.4,2651.811
35:51.4,20:04.7,2653.28
35:47.2,20:01.9,2654.722
,,
Global statistics,,
,max,average
penumbra,464.822,30.713
umbra,2654.722,2031.349
sunlit,2650442.021,18124.022
